Month,senti_score,mean_senti_score,positive,negative,count
2009-5,0.039749579124579125,0.019874789562289562,0.0,2.0,2
2009-6,0.0,0.0,0.0,0.0,0
2009-7,0.10888888888888888,0.10888888888888888,1.0,0.0,1
2009-8,0.0,0.0,0.0,0.0,0
2009-9,0.0,0.0,0.0,0.0,0
2009-10,0.09509803921568627,0.09509803921568627,0.0,1.0,1
2009-11,0.0,0.0,0.0,0.0,0
2009-12,0.0,0.0,0.0,0.0,0
2010-1,-0.10964912280701755,-0.10964912280701755,0.0,1.0,1
2010-2,0.0,0.0,0.0,0.0,0
2010-3,0.0,0.0,0.0,0.0,0
2010-4,0.0,0.0,0.0,0.0,0
2010-5,0.0606060606060606,0.0606060606060606,0.0,1.0,1
2010-6,0.08264411027568923,0.041322055137844614,0.0,2.0,2
2010-7,0.0,0.0,0.0,0.0,0
2010-8,0.0,0.0,0.0,0.0,0
2010-9,0.0883158508158508,0.0883158508158508,0.0,1.0,1
2010-10,0.0,0.0,0.0,0.0,0
2010-11,0.0,0.0,0.0,0.0,0
2010-12,0.15791666666666665,0.15791666666666665,1.0,0.0,1
2011-1,0.05454545454545454,0.05454545454545454,0.0,1.0,1
2011-2,0.06571839080459771,0.032859195402298855,0.0,2.0,2
2011-3,0.0,0.0,0.0,0.0,0
2011-4,0.0,0.0,0.0,0.0,0
2011-5,0.0,0.0,0.0,0.0,0
2011-6,0.0,0.0,0.0,0.0,0
2011-7,0.14034471701138368,0.07017235850569184,0.0,2.0,2
2011-8,-0.008235294117647058,-0.008235294117647058,0.0,1.0,1
2011-9,0.0,0.0,0.0,0.0,0
2011-10,0.07063973063973066,0.023546576879910217,1.0,2.0,3
2011-11,0.038122294372294356,0.019061147186147178,0.0,2.0,2
2011-12,0.10226712942230182,0.05113356471115091,0.0,2.0,2
2012-1,0.20395622895622895,0.10197811447811447,1.0,1.0,2
2012-2,0.0,0.0,0.0,0.0,0
2012-3,0.008244233559801556,0.004122116779900778,0.0,2.0,2
2012-4,0.2229213263588264,0.07430710878627546,1.0,2.0,3
2012-5,0.0048373015873015845,0.0024186507936507923,0.0,2.0,2
2012-6,0.03540372670807451,0.03540372670807451,0.0,1.0,1
2012-7,0.0,0.0,0.0,0.0,0
2012-8,0.0,0.0,0.0,0.0,0
2012-9,0.0,0.0,0.0,0.0,0
2012-10,0.2687291666666667,0.0895763888888889,1.0,2.0,3
2012-11,0.027083333333333338,0.027083333333333338,0.0,1.0,1
2012-12,0.27609126984126986,0.13804563492063493,2.0,0.0,2
2013-1,0.12518568132204494,0.02503713626440899,2.0,3.0,5
2013-2,0.15390612473945806,0.07695306236972903,1.0,1.0,2
2013-3,0.0,0.0,0.0,0.0,0
2013-4,0.6228142886486188,0.08897346980694554,3.0,4.0,7
2013-5,0.29869198193111235,0.07467299548277809,0.0,4.0,4
2013-6,0.03172348484848485,0.015861742424242424,0.0,2.0,2
2013-7,0.8506959344041745,0.12152799062916778,4.0,3.0,7
2013-8,0.0,0.0,0.0,0.0,0
2013-9,0.3753489191729322,0.07506978383458644,2.0,3.0,5
2013-10,0.1312206296992481,0.06561031484962405,0.0,2.0,2
2013-11,0.3742886882060223,0.09357217205150557,2.0,2.0,4
2013-12,0.11285203222703225,0.02821300805675806,0.0,4.0,4
2014-1,0.5754758737459631,0.06394176374955146,4.0,5.0,9
2014-2,0.4603772866195226,0.07672954776992043,2.0,4.0,6
2014-3,-0.0022161172161172175,-0.0011080586080586088,0.0,2.0,2
2014-4,0.21279088303001348,0.07093029434333782,1.0,2.0,3
2014-5,0.31612213666393235,0.07903053416598309,2.0,2.0,4
2014-6,0.5739094525889867,0.06376771695433187,3.0,6.0,9
2014-7,0.212718253968254,0.07090608465608467,2.0,1.0,3
2014-8,0.22108714698000412,0.07369571566000137,1.0,2.0,3
2014-9,0.7305544638110427,0.060879538650920224,5.0,7.0,12
2014-10,0.33827176113360324,0.08456794028340081,1.0,3.0,4
2014-11,-0.08676470588235294,-0.04338235294117647,0.0,2.0,2
2014-12,0.11183770063874418,0.022367540127748838,0.0,5.0,5
2015-1,0.3519465357508835,0.0703893071501767,1.0,4.0,5
2015-2,0.5351216530383197,0.10702433060766395,1.0,4.0,5
2015-3,0.2797105695230695,0.06992764238076737,2.0,2.0,4
2015-4,-0.021468253968253942,-0.004293650793650789,2.0,3.0,5
2015-5,1.0185734170150273,0.08488111808458561,5.0,7.0,12
2015-6,0.3070391298516299,0.03837989123145374,1.0,7.0,8
2015-7,0.2803869047619048,0.1401934523809524,1.0,1.0,2
2015-8,0.050897435897435894,0.025448717948717947,0.0,2.0,2
2015-9,-0.12459057486631016,-0.041530191622103384,0.0,3.0,3
2015-10,0.15541650027082357,0.019427062533852946,1.0,7.0,8
2015-11,0.2093494729907773,0.052337368247694326,0.0,4.0,4
2015-12,0.26014383486188,0.08671461162062666,1.0,2.0,3
2016-1,1.183683711187593,0.0910525931682764,6.0,7.0,13
2016-2,0.9958013596679012,0.12447516995848765,5.0,3.0,8
2016-3,0.06337301587301589,0.01584325396825397,1.0,3.0,4
2016-4,0.6351455878059139,0.07939319847573924,3.0,5.0,8
2016-5,0.12036435786435785,0.030091089466089464,1.0,3.0,4
2016-6,0.36107056328189024,0.060178427213648376,3.0,3.0,6
2016-7,0.22013101923262313,0.036688503205437185,1.0,5.0,6
2016-8,0.24941687941687943,0.04988337588337589,1.0,4.0,5
2016-9,0.5574220525276425,0.07963172178966323,3.0,4.0,7
2016-10,0.8485513449458562,0.05657008966305708,4.0,11.0,15
2016-11,0.6035755249867092,0.1005959208311182,3.0,3.0,6
2016-12,0.611728838631412,0.06796987095904578,3.0,6.0,9
2017-1,0.6217631531050649,0.12435263062101298,2.0,3.0,5
2017-2,0.657819220547892,0.07309102450532133,3.0,6.0,9
2017-3,0.9366391533886281,0.1040710170431809,4.0,5.0,9
2017-4,0.6192783799125712,0.12385567598251424,4.0,1.0,5
2017-5,0.41002467439967444,0.06833744573327907,2.0,4.0,6
2017-6,0.7169699655039566,0.04779799770026378,4.0,11.0,15
2017-7,0.5053744588744589,0.08422907647907647,2.0,4.0,6
2017-8,0.8617613504381797,0.12310876434831139,5.0,2.0,7
2017-9,0.6553856985377883,0.08192321231722353,2.0,6.0,8
2017-10,0.9933366010598152,0.09030332736907411,3.0,8.0,11
2017-11,0.3478781445406446,0.057979690756774095,1.0,5.0,6
2017-12,0.20665875891419372,0.041331751782838745,0.0,5.0,5
2018-1,0.8461512757055036,0.0604393768361074,5.0,9.0,14
2018-2,0.3431646680039536,0.026397282154150277,3.0,10.0,13
2018-3,0.18836022534013605,0.04709005633503401,0.0,4.0,4
2018-4,0.5096428571428571,0.16988095238095235,3.0,0.0,3
2018-5,0.7046274108209591,0.10066105868870845,3.0,4.0,7
2018-6,0.2715689686996505,0.0543137937399301,2.0,3.0,5
2018-7,0.4280051857864358,0.06114359796949083,2.0,5.0,7
2018-8,0.14321849446849447,0.028643698893698895,0.0,5.0,5
2018-9,0.8347536114248069,0.06956280095206724,4.0,8.0,12
2018-10,0.6910730582770056,0.06910730582770055,2.0,8.0,10
2018-11,0.5576453821925618,0.046470448516046814,1.0,11.0,12
2018-12,0.8413048112601683,0.08413048112601683,5.0,5.0,10
2019-1,0.07755151757672774,0.009693939697090967,1.0,7.0,8
2019-2,0.42324358068143086,0.08464871613628618,2.0,3.0,5
2019-3,0.8013304280028943,0.050083151750180896,4.0,12.0,16
2019-4,0.4274620037633532,0.04274620037633532,4.0,6.0,10
2019-5,0.5359562407454564,0.04122740313426588,3.0,10.0,13
2019-6,0.8352081714746188,0.07592801558860171,3.0,8.0,11
2019-7,0.7352264892815679,0.04595165558009799,3.0,13.0,16
2019-8,0.6491750580337536,0.0721305620037504,2.0,7.0,9
2019-9,0.6806673022744452,0.07562970025271613,3.0,6.0,9
2019-10,0.671364288738676,0.051643406826052,2.0,11.0,13
2019-11,0.7703450084971291,0.05502464346408065,3.0,11.0,14
2019-12,0.37292754572367676,0.028686734286436675,2.0,11.0,13
2020-1,0.8590318971702902,0.06607937670540694,4.0,9.0,13
2020-2,0.3389266817838246,0.03765852019820273,2.0,7.0,9
2020-3,0.07489177489177488,0.07489177489177488,0.0,1.0,1
